date,tmax_c,tavg_c,tmin_c,station,source
2010-01-01,15.5,11.6,6.4,SYE00147760,NOAA GHCN daily-summaries
2010-01-02,20.4,14.8,7.6,SYE00147760,NOAA GHCN daily-summaries
2010-01-15,13.1,10.4,,SYE00147760,NOAA GHCN daily-summaries
2010-01-31,13.4,8.9,5.6,SYE00147760,NOAA GHCN daily-summaries
2010-02-15,16.5,12.7,6.7,SYE00147760,NOAA GHCN daily-summaries
2010-02-28,11.3,9.3,7.4,SYE00147760,NOAA GHCN daily-summaries
2010-03-15,26.3,17.6,11.0,SYE00147760,NOAA GHCN daily-summaries
2010-03-31,20.4,13.9,,SYE00147760,NOAA GHCN daily-summaries
2010-04-15,26.1,18.4,9.8,SYE00147760,NOAA GHCN daily-summaries
2010-04-30,24.4,17.6,,SYE00147760,NOAA GHCN daily-summaries
2010-05-15,,26.3,,SYE00147760,NOAA GHCN daily-summaries
2010-05-31,,28.6,18.1,SYE00147760,NOAA GHCN daily-summaries
2010-06-01,39.1,30.9,20.8,SYE00147760,NOAA GHCN daily-summaries
2010-06-15,,24.9,18.7,SYE00147760,NOAA GHCN daily-summaries
2010-06-30,34.7,27.2,18.4,SYE00147760,NOAA GHCN daily-summaries
2010-07-15,37.4,29.7,,SYE00147760,NOAA GHCN daily-summaries
2010-07-31,45.4,35.5,23.8,SYE00147760,NOAA GHCN daily-summaries
2010-08-01,44.4,36.3,26.2,SYE00147760,NOAA GHCN daily-summaries
2010-08-15,42.3,33.9,25.5,SYE00147760,NOAA GHCN daily-summaries
2010-08-31,35.8,28.8,22.2,SYE00147760,NOAA GHCN daily-summaries
2010-09-15,,26.7,19.3,SYE00147760,NOAA GHCN daily-summaries
2010-09-30,35.0,27.8,22.1,SYE00147760,NOAA GHCN daily-summaries
2010-10-15,28.5,23.1,,SYE00147760,NOAA GHCN daily-summaries
2010-10-31,21.5,14.2,,SYE00147760,NOAA GHCN daily-summaries
2010-11-01,22.3,13.4,5.7,SYE00147760,NOAA GHCN daily-summaries
2010-11-15,25.3,17.1,9.3,SYE00147760,NOAA GHCN daily-summaries
2010-11-30,22.8,12.3,4.8,SYE00147760,NOAA GHCN daily-summaries
2010-12-01,22.9,12.7,5.3,SYE00147760,NOAA GHCN daily-summaries
2010-12-15,10.7,7.5,,SYE00147760,NOAA GHCN daily-summaries
2010-12-31,,6.1,,SYE00147760,NOAA GHCN daily-summaries
2012-01-01,,6.8,,SYE00147760,NOAA GHCN daily-summaries
2012-01-15,,9.1,,SYE00147760,NOAA GHCN daily-summaries
2012-01-31,7.9,6.3,4.9,SYE00147760,NOAA GHCN daily-summaries
2012-02-15,14.5,8.5,2.6,SYE00147760,NOAA GHCN daily-summaries
2012-02-29,11.4,6.3,,SYE00147760,NOAA GHCN daily-summaries
